level	targets	status	latestReview	prerequisites	nextAction
file	src/backend/dawn_delegate_backend.zig	pending			Read and review the complete scope.
file	src/backend/dropin_capabilities.zig	pending			Read and review the complete scope.
file	src/backend/dropin_external_texture.zig	pending			Read and review the complete scope.
file	src/backend/dropin_lifecycle.zig	pending			Read and review the complete scope.
file	src/backend/dropin_pipeline_cache.zig	pending			Read and review the complete scope.
file	src/backend/dropin_queue_submit.zig	pending			Read and review the complete scope.
file	src/backend/dropin_render_state.zig	pending			Read and review the complete scope.
file	src/backend/dropin_resource_ops.zig	pending			Read and review the complete scope.
file	src/backend/dropin_surface_ops.zig	pending			Read and review the complete scope.
file	src/backend/metal/artifact_emit.zig	pending			Read and review the complete scope.
file	src/backend/metal/backend_execute.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_async_runtime.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_bridge_decls.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_buffer_pool.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_cleanup.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_copy_runtime.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_deferred_release.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_dispatch_runtime.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_external_texture.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_gpu_timestamps.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_kernel_dispatch.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_native_runtime.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_pipeline_cache.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_render_state_bridge_decls.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_resource_commands.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_runtime_limits.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_runtime_queue_ops.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_runtime_render_ops.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_runtime_resources.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_surface_runtime.zig	pending			Read and review the complete scope.
file	src/backend/metal/metal_upload.zig	pending			Read and review the complete scope.
file	src/backend/metal/mod.zig	pending			Read and review the complete scope.
file	src/backend/metal/render_state.zig	pending			Read and review the complete scope.
file	src/backend/metal_package_pipeline_cache.zig	pending			Read and review the complete scope.
file	src/backend/ports/capture.zig	pending			Read and review the complete scope.
file	src/backend/ports/compute.zig	pending			Read and review the complete scope.
file	src/backend/ports/factory.zig	pending			Read and review the complete scope.
file	src/backend/ports/lifecycle.zig	pending			Read and review the complete scope.
file	src/backend/ports/mod.zig	pending			Read and review the complete scope.
file	src/backend/ports/provider_adapter.zig	pending			Read and review the complete scope.
file	src/backend/ports/queue.zig	pending			Read and review the complete scope.
file	src/backend/ports/readback.zig	pending			Read and review the complete scope.
file	src/backend/ports/render.zig	pending			Read and review the complete scope.
file	src/backend/ports/resource.zig	pending			Read and review the complete scope.
file	src/backend/ports/spatial.zig	pending			Read and review the complete scope.
file	src/backend/ports/surface.zig	pending			Read and review the complete scope.
file	src/backend/ports/telemetry.zig	pending			Read and review the complete scope.
file	src/backend/ports/transfer.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/artifact_emit.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/backend_execute.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/mod.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/native_runtime.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_adapter_probe.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_async_dispatch.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_async_probes.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_capability_structs.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_command_buffers.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_compute_program.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_compute_sync.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_constants.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_descriptor_identity.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_descriptors.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_device.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_device_caps.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_dispatch_indirect.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_dispatch_repeat.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_feature_caps.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_feature_probe.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_formats.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_functions.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_memory_policy.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_metrics.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_pipeline.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_pipeline_cache.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_pipeline_cache_persistent.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_render.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_render_pipeline.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_resources.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_runtime_probe_ops.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_runtime_surface_ops.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_samplers.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_shader_source.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_shared_pipeline.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_spirv_inspect.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_structs.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_sync.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_texture_commands.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_timestamp.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vk_upload.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vulkan_errors.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vulkan_surface.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vulkan_timing.zig	pending			Read and review the complete scope.
file	src/backend/vulkan/vulkan_types.zig	pending			Read and review the complete scope.
file	src/backend/webgpu_backend.zig	pending			Read and review the complete scope.
file	src/backend/webgpu_backend_lifecycle.zig	pending			Read and review the complete scope.
file	src/backend/webgpu_backend_ops.zig	pending			Read and review the complete scope.
file	src/backend/webgpu_backend_support.zig	pending			Read and review the complete scope.
file	src/backend/webgpu_backend_types.zig	pending			Read and review the complete scope.
file	src/cli/doe_plan_executor_cli.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_doe_plan_executor.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_emit_csl.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_emit_dxil.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_emit_hlsl.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_emit_ir_digest.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_emit_msl.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_emit_spirv.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_emit_tsir_attention_canary.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_usage.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/main_webgpu_plan_executor.zig	pending			Read and review the complete scope.
file	src/cli/entrypoints/module_runner.zig	pending			Read and review the complete scope.
file	src/cli/module_runner_cli.zig	pending			Read and review the complete scope.
file	src/cli/runtime_cli.zig	pending			Read and review the complete scope.
file	src/cli/runtime_cli_args.zig	pending			Read and review the complete scope.
file	src/cli/runtime_cli_artifacts.zig	pending			Read and review the complete scope.
file	src/cli/runtime_cli_inputs.zig	pending			Read and review the complete scope.
file	src/cli/runtime_cli_samples.zig	pending			Read and review the complete scope.
file	src/command/command_json.zig	pending			Read and review the complete scope.
file	src/command/command_json_extra.zig	pending			Read and review the complete scope.
file	src/command/command_json_raw.zig	pending			Read and review the complete scope.
file	src/command/command_kind.zig	pending			Read and review the complete scope.
file	src/command/command_parse_copy.zig	pending			Read and review the complete scope.
file	src/command/command_parse_dispatch.zig	pending			Read and review the complete scope.
file	src/command/command_parse_helpers.zig	pending			Read and review the complete scope.
file	src/command/command_parse_render.zig	pending			Read and review the complete scope.
file	src/command/command_stream.zig	pending			Read and review the complete scope.
file	src/compat/webgpu_ffi.zig	pending			Read and review the complete scope.
file	src/compiler/mod.zig	pending			Read and review the complete scope.
file	src/compiler/targets/mod.zig	pending			Read and review the complete scope.
file	src/compiler/targets/msl.zig	pending			Read and review the complete scope.
file	src/compiler/targets/spir_v.zig	pending			Read and review the complete scope.
file	src/compiler/targets/types.zig	pending			Read and review the complete scope.
file	src/compiler/targets/webgpu_generic.zig	pending			Read and review the complete scope.
file	src/compiler/targets/wse3.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/collective_synthesis.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/digest.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_csl.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_csl_f16_pack.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_dtype_routing.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_dxil.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_kernel_body.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_kernel_body_attention.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_kernel_body_conv1d.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_kernel_body_gated.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_kernel_body_kv.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_kernel_body_l2_normalize.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_kernel_body_linear_attention.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_kernel_context.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_msl.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_semantic_metadata.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_spir_v.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_text_skeleton.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/emit_webgpu.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/family_hint.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/frontend.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/frontend_body.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/frontend_collectives.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/frontend_expr.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/frontend_rejections.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/frontend_types.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/mod.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/planner.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/planner_support.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/reference_extended_ops.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/reference_inputs.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/reference_interpreter.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/reference_reduction.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/reference_scalar.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/reference_types.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/schema.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/tools/tsir_bootstrap_manifest_inputs.zig	pending			Read and review the complete scope.
file	src/compiler/tsir/tools/tsir_bootstrap_oracle.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/csl_compile_sections.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/csl_spec.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/csl_storage_emit.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/csl_text_buffer.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_attention.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_classify.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_core.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_dense_gemv.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_dequant.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_elementwise.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_exec_v1.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_fused.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_fused_ffn.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_gather.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_host.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_host_compile_rewrite.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_host_compile_source.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_host_plan.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_host_runtime.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_ir_walk.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_kv_cache.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_layout.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_linear_attn.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_maps.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_matmul.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_matmul_q4k.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_mem_plan.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_reduce_dist.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_reduction.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_rmsnorm_pack.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_rope.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_sample.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_semantic_ops.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_simulator.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_toolchain.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/csl/emit_csl_validate.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/dxil/dxil_bitcode.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/dxil/dxil_builder.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/dxil/dxil_container.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/dxil/dxil_serialize.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/dxil/dxil_spec.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/dxil/dxil_validate.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/dxil/emit_dxil.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/dxil/emit_dxil_native.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/hlsl/emit_hlsl.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/hlsl/emit_hlsl_builtins.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/hlsl/emit_hlsl_maps.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/hlsl/emit_hlsl_stage.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/hlsl/emit_hlsl_texture.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_fragment.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_ir.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_ir_builtins.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_maps.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_shared.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_stage.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_subgroups.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_texture.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_vertex.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/msl/emit_msl_workgroup_zero.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/operator_text.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/emit_spirv.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/emit_spirv_builtins.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/emit_spirv_fn.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/emit_spirv_fn_helpers.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/emit_spirv_matrix.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/emit_spirv_shared.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/emit_spirv_stages.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/emit_spirv_texture.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/spirv_builder.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/spirv/spirv_spec.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/emit/toolchain.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/ast.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/lexer.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/parser.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/parser_attrs.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/parser_decl.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/parser_expr.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/parser_stmt.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/sema.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/sema_attrs.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/sema_expr.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/sema_helpers.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/sema_resolve.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/sema_type_syntax.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/sema_types.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/sema_typeutils.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/frontend/token.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir_builder.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir_const_eval.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir_digest.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir_opt_rewrite.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir_query.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir_transform_float_fusion.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir_transform_robustness.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/ir_validate.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/ir/layout_utils.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/mod.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/analysis.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/binding_reflection.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/diagnostic.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/overrides.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/translate_csl.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/translate_dxil.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/translate_hlsl.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/translate_msl.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/pipeline/translate_spirv.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/proof/dispatch_proof_loop_match.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/proof/dispatch_proof_match.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/proof/dispatch_uniform_bounds.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/proof/robustness_static_bounds.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/runtime/runtime_compile.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/runtime/runtime_compile_report.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/runtime/runtime_compute_translation.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/runtime/runtime_graphics_translation.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/runtime/runtime_translation_info.zig	pending			Read and review the complete scope.
file	src/compiler/wgsl/runtime/shader_info.zig	pending			Read and review the complete scope.
file	src/composition/backend_factory.zig	pending			Read and review the complete scope.
file	src/composition/execution_session.zig	pending			Read and review the complete scope.
file	src/composition/mod.zig	pending			Read and review the complete scope.
file	src/contracts/artifact.zig	pending			Read and review the complete scope.
file	src/contracts/backend.zig	pending			Read and review the complete scope.
file	src/contracts/binding.zig	pending			Read and review the complete scope.
file	src/contracts/capability.zig	pending			Read and review the complete scope.
file	src/contracts/command.zig	pending			Read and review the complete scope.
file	src/contracts/command_metadata.zig	pending			Read and review the complete scope.
file	src/contracts/command_recording.zig	pending			Read and review the complete scope.
file	src/contracts/command_storage.zig	pending			Read and review the complete scope.
